subitem_id,project_code,project_code_raw,project_code_normalized,project_name,category,batch_no,publish_year,entry_type,region_raw,province,province_map_name,city_code,county_code,applicant_region_or_unit,protection_unit_raw,protection_unit_normalized,source_url,collected_at,raw_record_id,manual_review_status
subitem_12348,I-105,I-105,I-105,黄鹤楼传说,民间文学,3,2011,new,湖北省武汉市武昌区,湖北省,湖北省,420100,420106,湖北省武汉市武昌区 <br /> <br /> 黄鹤楼传说是以湖北省武汉市武昌蛇山黄鹤楼为故事发生地域或与其有关的传说组成,武汉市黄鹤楼公园管理处,武汉市黄鹤楼公园管理处,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12348,
subitem_12349,I-106,I-106,I-106,烂柯山的传说,民间文学,3,2011,new,山西省陵川县,山西省,山西省,140500,140524,"山西省陵川县 <br /> <br /> 烂柯山的传说是一个古老的民间传说,在我国许多地方都有流传",陵川县文化馆（陵川县上党梆子传习所）,陵川县文化馆(陵川县上党梆子传习所),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12349,
subitem_12350,I-106,I-106,I-106,烂柯山的传说,民间文学,3,2011,new,浙江省衢州市,浙江省,浙江省,330800,,"浙江省衢州市 <br /> <br /> 烂柯山的传说是一个古老的民间传说,在我国许多地方都有流传",衢州市文化馆（衢州市非物质文化遗产保护中心）,衢州市文化馆(衢州市非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12350,
subitem_12351,I-107,I-107,I-107,珞巴族始祖传说,民间文学,3,2011,new,西藏自治区米林县,西藏自治区,西藏自治区,542600,542623,"西藏自治区米林县 <br /> <br /> 珞巴,藏语译音意为“南方人”",西藏林芝市米林县文化和旅游局,西藏林芝市米林县文化和旅游局,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12351,
subitem_12352,I-108,I-108,I-108,阿尼玛卿雪山传说,民间文学,3,2011,new,青海省果洛藏族自治州,青海省,青海省,632600,,"青海省果洛藏族自治州 <br /> <br /> 阿尼玛卿雪山,藏语称“玛卿岗日”,海拔6282米,系昆仑山支脉,位于青海省果洛藏族自治州玛沁县西北部",果洛州文化馆（果洛州非物质文化遗产传承保护中心、果洛州群众体育指导服务中心）,果洛州文化馆(果洛州非物质文化遗产传承保护中心、果洛州群众体育指导服务中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12352,
subitem_12353,I-109,I-109,I-109,锡伯族民间故事,民间文学,3,2011,new,辽宁省沈阳市,辽宁省,辽宁省,210100,,"辽宁省沈阳市 <br /> <br /> 以口头形态流传的锡伯族民间故事,是极其珍贵的民族非物质文化遗产",沈阳市于洪区文化旅游体育事务服务中心,沈阳市于洪区文化旅游体育事务服务中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12353,
subitem_12205,I-11,I-11,I-11,济公传说,民间文学,1,2006,new,浙江省天台县,浙江省,浙江省,331000,331023,"浙江省天台县 <br /> <br /> 济公传说是以南宋禅宗高僧道济的故事发展演变而来的一种民间口头文学,以天台为中心分布于浙江省境内,并由此辐射全国,影响世界",台州市天台山文化研究会,台州市天台山文化研究会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12205,
subitem_12354,I-110,I-110,I-110,嘉黎民间故事,民间文学,3,2011,new,西藏自治区嘉黎县,西藏自治区,西藏自治区,542400,542422,"西藏自治区嘉黎县 <br /> <br /> 自古以来藏北儿女以其勤劳和智慧耕耘在这片高原上,创造了丰富多彩的民族民间文化艺术,而藏族游牧口头文学是其中最为灿烂的一页",西藏那曲市嘉黎县文化和旅游局,西藏那曲市嘉黎县文化和旅游局,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12354,
subitem_12355,I-111,I-111,I-111,海洋动物故事,民间文学,3,2011,new,浙江省洞头县,浙江省,浙江省,330300,330322,"浙江省洞头县 <br /> <br /> 海洋动物故事,是以海洋动物为主人公的民间故事,在我国动物故事中是一个特殊的门类,独具特色",温州市洞头区民间文艺工作者协会,温州市洞头区民间文艺工作者协会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12355,
subitem_12356,I-112,I-112,I-112,土家族哭嫁歌,民间文学,3,2011,new,湖南省古丈县,湖南省,湖南省,433100,433126,"湖南省永顺县 <br /> <br /> 土家族哭嫁歌,是土家族妇女在婚礼仪式中演唱的一种叙事加抒情的长歌",古丈县非物质文化遗产保护中心,古丈县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12356,
subitem_12357,I-112,I-112,I-112,土家族哭嫁歌,民间文学,3,2011,new,湖南省永顺县,湖南省,湖南省,433100,433127,"湖南省永顺县 <br /> <br /> 湘西土家族哭嫁歌是以土家语言演唱的长篇民间叙事歌谣,主要流布于云贵高原余脉武陵山区、湘、鄂、渝、黔等省市土家族聚居地",永顺县非物质文化遗产保护中心,永顺县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12357,
subitem_12358,I-113,I-113,I-113,坡芽情歌,民间文学,3,2011,new,云南省富宁县,云南省,云南省,532600,532628,"云南省富宁县 <br /> <br /> 坡芽情歌是一部由81个图画符号记录在土布上的爱情民歌集,壮族语称“布瓦吩”,意为“把花纹图案画在土布上的山歌”(现在当地群众称其为“坡芽歌书”),主要流传于以云南省富宁县的六益、者宁,归朝的那贯、老街三寨,者桑乡的百比,以及花甲乡等地的壮族村寨,而以剥隘镇坡芽村为中心",富宁县文化馆,富宁县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12358,
subitem_12359,I-114,I-114,I-114,祝赞词,民间文学,3,2011,new,内蒙古自治区东乌珠穆沁旗,内蒙古自治区,内蒙古自治区,152500,152525,"内蒙古自治区东乌珠穆沁旗 <br /> <br /> 祝赞词(伊茹勒)是蒙古族日常生活中的一项重要礼仪,但并非一定要在隆重的场合才使用,即使在一般交往中,彼此问候,并相互致以美好祝愿,也是蒙古人的日常礼仪",东乌珠穆沁旗文化馆,东乌珠穆沁旗文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12359,
subitem_12360,I-114,I-114,I-114,祝赞词,民间文学,3,2011,new,新疆维吾尔自治区博湖县,新疆维吾尔自治区,新疆维吾尔自治区,652800,652829,新疆维吾尔自治区博湖县 <br /> <br /> 新疆蒙古族祝赞词是蒙古族民间文学所特有的“礼俗文学”,博湖县非物质文化遗产保护中心,博湖县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12360,
subitem_12361,I-114,I-114,I-114,祝赞词,民间文学,3,2011,new,新疆维吾尔自治区和布克赛尔蒙古自治县,新疆维吾尔自治区,新疆维吾尔自治区,654200,654226,新疆维吾尔自治区和布克赛尔蒙古自治县 <br /> <br /> 祝赞词是我国北方蒙古游牧民族传统的民间文学形式,和布克赛尔蒙古自治县非物质文化遗产保护中心,和布克赛尔蒙古自治县非物质文化遗产保护中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12361,
subitem_23639,I-114,I-114,I-114,祝赞词(肃北蒙古族祝赞词),民间文学,5,2021,extension,甘肃省酒泉市肃北蒙古族自治县,甘肃省,甘肃省,620900,620923,甘肃省酒泉市肃北蒙古族自治县,肃北蒙古族自治县文化馆,肃北蒙古族自治县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,23639,
subitem_12362,I-115,I-115,I-115,黑暗传,民间文学,3,2011,new,湖北省保康县,湖北省,湖北省,420600,420626,湖北省保康县 <br /> <br /> 保康县地处湖北省西北部荆山山脉腹地,保康县文化馆,保康县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12362,
subitem_12363,I-115,I-115,I-115,黑暗传,民间文学,3,2011,new,湖北省神农架林区,湖北省,湖北省,429021,,"湖北省神农架林区 <br /> <br /> 《黑暗传》是一部神话历史叙事长诗,主要流传于湖北省的神农架林区、房县、保康以及四川巫山等地",神农架林区群众艺术馆,神农架林区群众艺术馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12363,
subitem_12364,I-116,I-116,I-116,陶克陶胡,民间文学,3,2011,new,吉林省前郭尔罗斯蒙古族自治县,吉林省,吉林省,220700,220721,"吉林省前郭尔罗斯蒙古族自治县 <br /> <br /> 《陶克陶胡》是产生于19世纪初的一种蒙古族说唱体民间文学,是民间艺人根据真人真事创编,以蒙古族长篇叙事琴书,即乌力格尔说唱为主,以民歌和多种传说、故事为内容的文学版本,至今仍在蒙古族聚居地区广为流传",前郭尔罗斯蒙古族自治县文化工作总站（前郭县非物质文化遗产保护中心）,前郭尔罗斯蒙古族自治县文化工作总站(前郭县非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12364,
subitem_12365,I-117,I-117,I-117,密洛陀,民间文学,3,2011,new,广西壮族自治区都安瑶族自治县,广西壮族自治区,广西壮族自治区,451200,451228,广西壮族自治区都安瑶族自治县 <br /> <br /> 《密洛陀》是瑶族(布努瑶)的一部创世史诗,都安瑶族自治县文化馆,都安瑶族自治县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12365,
subitem_12366,I-118,I-118,I-118,亚鲁王,民间文学,3,2011,new,贵州省紫云苗族布依族自治县,贵州省,贵州省,520400,520425,"贵州省紫云苗族布依族自治县 <br /> <br /> 《亚鲁王》是苗族的一部英雄史诗,长约两万六千余行,涉及古代人物一万余人,四百余个古苗语地名,二十余个古战场的细腻描述,至今口头传承于麻山苗族地区的三千多名歌师中",紫云苗族布依族自治县亚鲁王文化研究中心,紫云苗族布依族自治县亚鲁王文化研究中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12366,
subitem_12367,I-119,I-119,I-119,目瑙斋瓦,民间文学,3,2011,new,云南省德宏傣族景颇族自治州,云南省,云南省,533100,,云南省德宏傣族景颇族自治州 <br /> <br /> 《目瑙斋瓦》是景颇族的创世史诗,德宏州文化馆,德宏州文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12367,
subitem_12206,I-12,I-12,I-12,满族说部,民间文学,1,2006,new,吉林省,吉林省,吉林省,,,"吉林省 <br /> <br /> 吉林省东南部的长白山是满族的发祥地,满族先民自古就在这片广袤、美丽而神奇的沃土上繁衍生息",吉林省艺术研究院（吉林省文化行业特有工种职业技能鉴定站、吉林省东北二人转博物馆、吉林省非物质文化遗产保护中心）,吉林省艺术研究院(吉林省文化行业特有工种职业技能鉴定站、吉林省东北二人转博物馆、吉林省非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12206,
subitem_23633,I-12,I-12,I-12,满族说部(孙吴县满语故事),民间文学,5,2021,extension,黑龙江省黑河市孙吴县,黑龙江省,黑龙江省,231100,231124,黑龙江省黑河市孙吴县,孙吴县文化馆,孙吴县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,23633,
subitem_12368,I-120,I-120,I-120,洛奇洛耶与扎斯扎依,民间文学,3,2011,new,云南省墨江哈尼族自治县,云南省,云南省,530800,530822,"云南省墨江哈尼族自治县 <br /> <br /> 叙事长诗《洛奇洛耶与扎斯扎依》是哈尼族碧约人口传叙事长诗,流传于云南省滇南的哈尼族聚居地区,主要在普洱市墨江哈尼族自治县、江城哈尼族彝族自治县、宁洱哈尼族彝族自治县及红河州、玉溪市的哈尼族碧约人支系聚居的村寨中",墨江哈尼族自治县文化馆,墨江哈尼族自治县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12368,
subitem_12369,I-121,I-121,I-121,阿细先基,民间文学,3,2011,new,云南省弥勒县,云南省,云南省,532500,532504,"云南省弥勒县 <br /> <br /> 《阿细先基》,又名《阿细人的歌》,是彝族支系阿细人的创世史诗,口头流传于云南省弥勒县西山地区的阿细人聚居地",弥勒市文化馆,弥勒市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=2,2026-08-06T10:14:56+00:00,12369,
subitem_12370,I-122,I-122,I-122,羌戈大战,民间文学,3,2011,new,四川省汶川县,四川省,四川省,513200,513221,四川省汶川县 <br /> <br /> 羌族是我国最为古老的民族之一,汶川县文化馆,汶川县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12370,
subitem_12371,I-123,I-123,I-123,恰克恰克,民间文学,3,2011,new,新疆维吾尔自治区伊宁市,新疆维吾尔自治区,新疆维吾尔自治区,654000,654002,"新疆维吾尔自治区伊宁市 <br /> <br /> 维吾尔族“恰克恰克”,翻译成汉语为“笑话”,源于维吾尔族人民的生活习俗,是维吾尔族民间口头的一种讽刺文学形式,多在麦西莱甫、喜庆婚礼、朋友聚会、相互聊天、节庆假日等场合说趣",伊宁市文化馆,伊宁市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12371,
subitem_12372,I-124,I-124,I-124,酉阳古歌,民间文学,3,2011,new,重庆市酉阳土家族苗族自治县,重庆市,重庆市,500100,500242,"重庆市酉阳土家族苗族自治县 <br /> <br /> 酉阳古歌是巫傩师在祭祖崇拜,祈求丰产和驱邪还愿活动中吟诵的诗文,流传于地处湘、鄂、渝、黔交界处的重庆酉阳土家族苗族自治县,是南方古文化在武陵山区延续和衍变的产物",酉阳土家族苗族自治县文化馆（酉阳土家族苗族自治县文化生态保护中心、酉阳土家族苗族自治县非物质文化遗产保护中心）,酉阳土家族苗族自治县文化馆(酉阳土家族苗族自治县文化生态保护中心、酉阳土家族苗族自治县非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12372,
subitem_12373,I-125,I-125,I-125,谚语(沪谚),民间文学,3,2011,new,上海市闵行区,上海市,上海市,310100,310112,上海市闵行区 <br /> <br /> 沪谚是我国几大著名的方言谚语之一,上海市闵行区浦江镇文化体育事业发展中心,上海市闵行区浦江镇文化体育事业发展中心,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12373,
subitem_12374,I-125,I-125,I-125,谚语(陕北民谚),民间文学,4,2014,extension,陕西省榆林市,陕西省,陕西省,610800,,陕西省榆林市,榆林市公共文化服务中心（榆林市博物馆、榆林市图书馆、榆林市文化馆）,榆林市公共文化服务中心(榆林市博物馆、榆林市图书馆、榆林市文化馆),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12374,
subitem_23640,I-125,I-125,I-125,谚语(哈萨克族谚语),民间文学,5,2021,extension,新疆维吾尔自治区伊犁哈萨克自治州特克斯县,新疆维吾尔自治区,新疆维吾尔自治区,654000,654027,新疆维吾尔自治区伊犁哈萨克自治州特克斯县,特克斯县文化馆,特克斯县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,23640,
subitem_12375,I-126,I-126,I-126,卢沟桥传说,民间文学,4,2014,new,北京市丰台区,北京市,北京市,110100,110106,北京市丰台区,北京市丰台区文化馆,北京市丰台区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12375,
subitem_12376,I-127,I-127,I-127,鬼谷子传说,民间文学,4,2014,new,河北省临漳县,河北省,河北省,130400,130423,河北省临漳县,临漳县文化馆,临漳县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12376,
subitem_12377,I-128,I-128,I-128,东海孝妇传说,民间文学,4,2014,new,江苏省连云港市,江苏省,江苏省,320700,,江苏省连云港市,连云港市孝文化研究会,连云港市孝文化研究会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12377,
subitem_12378,I-129,I-129,I-129,刘阮传说,民间文学,4,2014,new,浙江省天台县,浙江省,浙江省,331000,331023,浙江省天台县,台州市天台山文化研究会,台州市天台山文化研究会,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12378,
subitem_12207,I-13,I-13,I-13,河西宝卷,民间文学,1,2006,new,甘肃省武威市凉州区,甘肃省,甘肃省,620600,620602,"甘肃省武威市凉州区 <br /> <br /> 河西宝卷主要流传于甘肃省河西走廊一带,这是我国至今仍有讲唱活动的少数地区之一",凉州区文化馆,凉州区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12207,
subitem_12208,I-13,I-13,I-13,河西宝卷,民间文学,1,2006,new,甘肃省酒泉市肃州区,甘肃省,甘肃省,620900,620902,"甘肃省酒泉市肃州区 <br /> <br /> 河西宝卷主要流传于甘肃省河西走廊一带,这是我国至今仍有讲唱活动的少数地区之一",肃州区文化馆,肃州区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12208,
subitem_12209,I-13,I-13,I-13,宝卷(靖江宝卷),民间文学,2,2008,extension,江苏省靖江市,江苏省,江苏省,321200,321282,"江苏省靖江市 <br /> <br /> 宝卷是由唐代变文和宋代说经演化而成的一种俗讲文本,明清以来包容进了大量的民间传说、民歌民谣和社会风俗内容,成为亦圣亦俗、亦庄亦谐、叙事为主、韵散结合的民间文学文体",靖江市文化馆,靖江市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12209,
subitem_12210,I-13,I-13,I-13,宝卷(河西宝卷),民间文学,2,2008,extension,甘肃省张掖市,甘肃省,甘肃省,620700,,"甘肃省张掖市 <br /> <br /> 河西宝卷是流传于甘肃省河西地区的一种民间说唱文学,由唐代敦煌变文、俗讲及宋代说经演变而来,在甘肃河西走廊一带的农村中广为流传",张掖市文化馆（张掖市非物质文化遗产传承保护中心）,张掖市文化馆(张掖市非物质文化遗产传承保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12210,
subitem_12211,I-13,I-13,I-13,宝卷(吴地宝卷),民间文学,4,2014,extension,江苏省苏州市,江苏省,江苏省,320500,,江苏省苏州市,苏州市非物质文化遗产保护管理办公室（苏州市文化研究中心）,苏州市非物质文化遗产保护管理办公室(苏州市文化研究中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,12211,
subitem_23634,I-13,I-13,I-13,宝卷(岷县宝卷),民间文学,5,2021,extension,甘肃省定西市岷县,甘肃省,甘肃省,621100,621126,甘肃省定西市岷县,岷县文化馆,岷县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=1,2026-08-06T10:14:54+00:00,23634,
subitem_12379,I-130,I-130,I-130,孔雀东南飞传说,民间文学,4,2014,new,安徽省怀宁县,安徽省,安徽省,340800,340822,安徽省怀宁县,怀宁县文化馆,怀宁县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12379,
subitem_12380,I-130,I-130,I-130,孔雀东南飞传说,民间文学,4,2014,new,安徽省潜山县,安徽省,安徽省,340800,340824,安徽省潜山县,潜山市文化馆,潜山市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12380,
subitem_12381,I-131,I-131,I-131,老子传说,民间文学,4,2014,new,安徽省涡阳县,安徽省,安徽省,341600,341621,安徽省涡阳县,涡阳县文化馆,涡阳县文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12381,
subitem_12382,I-131,I-131,I-131,老子传说,民间文学,4,2014,new,河南省灵宝市,河南省,河南省,411200,411282,河南省灵宝市,灵宝市文化馆,灵宝市文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12382,
subitem_12383,I-132,I-132,I-132,陈三五娘传说,民间文学,4,2014,new,福建省泉州市洛江区,福建省,福建省,350500,350504,福建省泉州市洛江区,泉州市洛江区文化馆,泉州市洛江区文化馆,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12383,
subitem_12384,I-133,I-133,I-133,胡峄阳传说,民间文学,4,2014,new,山东省青岛市城阳区,山东省,山东省,370200,370214,山东省青岛市城阳区,青岛城阳流亭峄阳文化园,青岛城阳流亭峄阳文化园,http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12384,
subitem_12385,I-134,I-134,I-134,孟母教子传说,民间文学,4,2014,new,山东省邹城市,山东省,山东省,370800,370883,山东省邹城市,邹城市文化旅游公共服务中心（邹城市图书馆、邹城市文化馆）,邹城市文化旅游公共服务中心(邹城市图书馆、邹城市文化馆),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12385,
subitem_12386,I-135,I-135,I-135,河图洛书传说,民间文学,4,2014,new,河南省洛阳市,河南省,河南省,410300,,河南省洛阳市,洛阳市文化馆（洛阳市非物质文化遗产保护中心）,洛阳市文化馆(洛阳市非物质文化遗产保护中心),http://www.ihchina.cn/Article/Index/getProject.html?category_id=16&type=1&limit=100&p=3,2026-08-06T10:14:57+00:00,12386,
